Year,Datetime,Stage,City,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1978,07 Jun 1978 - 13:45 ,Group 3,Buenos Aires ,Austria,1,Sweden,0
1978,07 Jun 1978 - 16:45 ,Group 4,Cordoba ,Scotland,1,IR Iran,1
1978,07 Jun 1978 - 16:45 ,Group 4,Mendoza ,Netherlands,0,Peru,0
1978,10 Jun 1978 - 15:10 ,Group 1,Mar Del Plata ,France,3,Hungary,1
1978,10 Jun 1978 - 16:45 ,Group 2,Rosario ,Poland,3,Mexico,1
1978,10 Jun 1978 - 16:45 ,Group 2,Cordoba ,Germany FR,0,Tunisia,0
1978,10 Jun 1978 - 19:15 ,Group 1,Buenos Aires ,Italy,1,Argentina,0
1978,11 Jun 1978 - 13:45 ,Group 3,Mar Del Plata ,Brazil,1,Austria,0
1978,11 Jun 1978 - 13:45 ,Group 3,Buenos Aires ,Spain,1,Sweden,0
1978,11 Jun 1978 - 16:45 ,Group 4,Cordoba ,Peru,4,Iran,1
1978,11 Jun 1978 - 16:45 ,Group 4,Mendoza ,Scotland,3,Netherlands,2
1978,14 Jun 1978 - 13:45 ,Group A,Buenos Aires ,Germany FR,0,Italy,0
1978,14 Jun 1978 - 13:45 ,Group A,Cordoba ,Netherlands,5,Austria,1
1978,14 Jun 1978 - 16:45 ,Group B,Mendoza ,Brazil,3,Peru,0
1978,14 Jun 1978 - 19:15 ,Group B,Rosario ,Argentina,2,Poland,0
1978,18 Jun 1978 - 13:45 ,Group B,Mendoza ,Poland,1,Peru,0
1978,18 Jun 1978 - 16:45 ,Group A,Buenos Aires ,Italy,1,Austria,0
1978,18 Jun 1978 - 16:45 ,Group A,Cordoba ,Germany FR,2,Netherlands,2
1978,18 Jun 1978 - 19:15 ,Group B,Rosario ,Argentina,0,Brazil,0
1978,21 Jun 1978 - 13:45 ,Group A,Buenos Aires ,Netherlands,2,Italy,1
1978,21 Jun 1978 - 13:45 ,Group A,Cordoba ,Austria,3,Germany FR,2
1978,21 Jun 1978 - 16:45 ,Group B,Mendoza ,Brazil,3,Poland,1
1978,21 Jun 1978 - 19:15 ,Group B,Rosario ,Argentina,6,Peru,0
1978,24 Jun 1978 - 15:00 ,Match for third place,Buenos Aires ,Brazil,2,Italy,1
1978,25 Jun 1978 - 15:00 ,Final,Buenos Aires ,Argentina,3,Netherlands,1
1982,13 Jun 1982 - 20:00 ,Group 3,Barcelona ,Argentina,0,Belgium,1
1982,14 Jun 1982 - 17:15 ,Group 1,Vigo ,Italy,0,Poland,0
1982,14 Jun 1982 - 21:00 ,Group 6,Seville ,Brazil,2,Soviet Union,1
1982,15 Jun 1982 - 17:15 ,Group 1,La Coru�A ,Peru,0,Cameroon,0
1982,15 Jun 1982 - 21:00 ,Group 3,Elche ,Hungary,10,El Salvador,1
1982,15 Jun 1982 - 21:00 ,Group 6,Malaga ,Scotland,5,New Zealand,2
1982,16 Jun 1982 - 17:15 ,Group 2,Gijon ,Germany FR,1,Algeria,2
1982,16 Jun 1982 - 17:15 ,Group 4,Bilbao ,England,3,France,1
1982,16 Jun 1982 - 21:00 ,Group 5,Valencia ,Spain,1,Honduras,1
1982,17 Jun 1982 - 17:15 ,Group 2,Oviedo ,Chile,0,Austria,1
1982,17 Jun 1982 - 17:45 ,Group 4,Valladolid ,Czechoslovakia,1,Kuwait,1
1982,17 Jun 1982 - 21:00 ,Group 5,Zaragoza ,Yugoslavia,0,Northern Ireland,0
1982,18 Jun 1982 - 17:15 ,Group 1,Vigo ,Italy,1,Peru,1
1982,18 Jun 1982 - 21:00 ,Group 3,Alicante ,Argentina,4,Hungary,1
1982,18 Jun 1982 - 21:00 ,Group 6,Seville ,Brazil,4,Scotland,1
1982,19 Jun 1982 - 19:15 ,Group 1,La Coru�A ,Poland,0,Cameroon,0
1982,19 Jun 1982 - 21:00 ,Group 3,Elche ,Belgium,1,El Salvador,0
1982,19 Jun 1982 - 21:00 ,Group 6,Malaga ,Soviet Union,3,New Zealand,0
1982,20 Jun 1982 - 17:15 ,Group 2,Gijon ,Germany FR,4,Chile,1
1982,20 Jun 1982 - 17:15 ,Group 4,Bilbao ,England,2,Czechoslovakia,0
1982,20 Jun 1982 - 21:00 ,Group 5,Valencia ,Spain,2,Yugoslavia,1
1982,21 Jun 1982 - 17:15 ,Group 2,Oviedo ,Algeria,0,Austria,2
1982,21 Jun 1982 - 17:15 ,Group 4,Valladolid ,France,4,Kuwait,1
1982,21 Jun 1982 - 21:00 ,Group 5,Zaragoza ,Honduras,1,Northern Ireland,1
1982,22 Jun 1982 - 17:15 ,Group 1,La Coru�A ,Poland,5,Peru,1
1982,22 Jun 1982 - 21:00 ,Group 3,Elche ,Belgium,1,Hungary,1
1982,22 Jun 1982 - 21:00 ,Group 6,Malaga ,Soviet Union,2,Scotland,2
1982,23 Jun 1982 - 17:15 ,Group 1,Vigo ,Italy,1,Cameroon,1
1982,23 Jun 1982 - 21:00 ,Group 3,Alicante ,Argentina,2,El Salvador,0
1982,23 Jun 1982 - 21:00 ,Group 6,Seville ,Brazil,4,New Zealand,0
1982,24 Jun 1982 - 17:15 ,Group 2,Oviedo ,Algeria,3,Chile,2
1982,24 Jun 1982 - 17:15 ,Group 4,Valladolid ,France,1,Czechoslovakia,1
1982,24 Jun 1982 - 21:00 ,Group 5,Zaragoza ,Honduras,0,Yugoslavia,1
1982,25 Jun 1982 - 17:15 ,Group 2,Gijon ,Germany FR,1,Austria,0
1982,25 Jun 1982 - 17:15 ,Group 4,Bilbao ,England,1,Kuwait,0
1982,25 Jun 1982 - 21:00 ,Group 5,Valencia ,Northern Ireland,1,Spain,0
1982,28 Jun 1982 - 17:15 ,Group 4,Madrid ,Austria,0,France,1
1982,28 Jun 1982 - 21:00 ,Group 1,Barcelona ,Poland,3,Belgium,0
1982,29 Jun 1982 - 17:15 ,Group 3,Barcelona ,Italy,2,Argentina,1
1982,29 Jun 1982 - 21:00 ,Group 2,Madrid ,Germany FR,0,England,0
1982,01 Jul 1982 - 17:15 ,Group 4,Madrid ,Austria,2,Northern Ireland,2
1982,01 Jul 1982 - 21:00 ,Group 1,Barcelona ,Belgium,0,Soviet Union,1
1982,02 Jul 1982 - 17:15 ,Group 3,Barcelona ,Argentina,1,Brazil,3
1982,02 Jul 1982 - 21:00 ,Group 2,Madrid ,Germany FR,2,Spain,1
1982,04 Jul 1982 - 17:15 ,Group 4,Madrid ,France,4,Northern Ireland,1
1982,04 Jul 1982 - 21:00 ,Group 1,Barcelona ,Poland,0,Soviet Union,0
1982,05 Jul 1982 - 17:15 ,Group 3,Barcelona ,Italy,3,Brazil,2
1982,05 Jul 1982 - 21:00 ,Group 2,Madrid ,Spain,0,England,0
1982,08 Jul 1982 - 17:15 ,Semi-finals,Barcelona ,Poland,0,Italy,2
1982,08 Jul 1982 - 21:00 ,Semi-finals,Seville ,Germany FR,3,France,3
1982,10 Jul 1982 - 20:00 ,Match for third place,Alicante ,Poland,3,France,2
1982,11 Jul 1982 - 20:00 ,Final,Madrid ,Italy,3,Germany FR,1
1986,31 May 1986 - 12:00 ,Group A,Mexico City ,Bulgaria,1,Italy,1
1986,01 Jun 1986 - 16:00 ,Group C,Leon ,Canada,0,France,1
1986,01 Jun 1986 - 12:00 ,Group D,Guadalajara ,Spain,0,Brazil,1
1986,02 Jun 1986 - 12:00 ,Group C,Irapuato ,Soviet Union,6,Hungary,0
1986,02 Jun 1986 - 12:00 ,Group A,Mexico City ,Argentina,3,Korea Republic,1
1986,02 Jun 1986 - 16:00 ,Group F,Monterrey ,Morocco,0,Poland,0
1986,03 Jun 1986 - 12:00 ,Group D,Guadalajara ,Algeria,1,Northern Ireland,1
1986,03 Jun 1986 - 12:00 ,Group B,Mexico City ,Belgium,1,Mexico,2
1986,03 Jun 1986 - 16:00 ,Group F,Monterrey ,Portugal,1,England,0
1986,04 Jun 1986 - 12:00 ,Group B,Toluca ,Paraguay,1,Iraq,0
1986,04 Jun 1986 - 16:00 ,Group E,Nezahualcoyotl ,Scotland,0,Denmark,1
1986,04 Jun 1986 - 12:00 ,Group E,Queretaro ,Uruguay,1,Germany FR,1
1986,05 Jun 1986 - 12:00 ,Group A,Puebla ,Italy,1,Argentina,1
1986,05 Jun 1986 - 12:00 ,Group C,Leon ,France,1,Soviet Union,1
1986,05 Jun 1986 - 16:00 ,Group A,Mexico City ,Korea Republic,1,Bulgaria,1
1986,06 Jun 1986 - 12:00 ,Group C,Irapuato ,Hungary,2,Canada,0
1986,06 Jun 1986 - 12:00 ,Group D,Guadalajara ,Brazil,1,Algeria,0
1986,06 Jun 1986 - 16:00 ,Group F,Monterrey ,England,0,Morocco,0
1986,07 Jun 1986 - 12:00 ,Group D,Guadalajara ,Northern Ireland,1,Spain,2
1986,07 Jun 1986 - 12:00 ,Group B,Mexico City ,Mexico,1,Paraguay,1
1986,07 Jun 1986 - 16:00 ,Group F,Monterrey ,Poland,1,Portugal,0
1986,08 Jun 1986 - 12:00 ,Group B,Toluca ,Iraq,1,Belgium,2
1986,08 Jun 1986 - 16:00 ,Group E,Nezahualcoyotl ,Denmark,6,Uruguay,1
1986,08 Jun 1986 - 12:00 ,Group E,Queretaro ,Germany FR,2,Scotland,1
1986,09 Jun 1986 - 12:00 ,Group C,Leon ,Hungary,0,France,3
1986,09 Jun 1986 - 12:00 ,Group C,Irapuato ,Soviet Union,2,Canada,0
1986,10 Jun 1986 - 12:00 ,Group A,Puebla ,Korea Republic,2,Italy,3
1986,10 Jun 1986 - 12:00 ,Group A,Mexico City ,Argentina,2,Bulgaria,0
1986,11 Jun 1986 - 12:00 ,Group B,Toluca ,Paraguay,2,Belgium,2
1986,11 Jun 1986 - 12:00 ,Group B,Mexico City ,Iraq,0,Mexico,1
1986,11 Jun 1986 - 16:00 ,Group F,Guadalajara ,Portugal,1,Morocco,3
1986,11 Jun 1986 - 16:00 ,Group F,Monterrey ,England,3,Poland,0
1986,12 Jun 1986 - 12:00 ,Group D,Guadalajara ,Northern Ireland,0,Brazil,3
1986,12 Jun 1986 - 12:00 ,Group D,Monterrey ,Algeria,0,Spain,3
1986,13 Jun 1986 - 12:00 ,Group E,Nezahualcoyotl ,Scotland,0,Uruguay,0
1986,13 Jun 1986 - 12:00 ,Group E,Queretaro ,Denmark,2,Germany FR,0
1986,15 Jun 1986 - 16:00 ,Round of 16,Leon ,Soviet Union,3,Belgium,4
1986,15 Jun 1986 - 12:00 ,Round of 16,Mexico City ,Mexico,2,Bulgaria,0
1986,16 Jun 1986 - 16:00 ,Round of 16,Puebla ,Argentina,1,Uruguay,0
1986,16 Jun 1986 - 12:00 ,Round of 16,Guadalajara ,Brazil,4,Poland,0
1986,17 Jun 1986 - 12:00 ,Round of 16,Mexico City ,Italy,0,France,2
1986,17 Jun 1986 - 16:00 ,Round of 16,Monterrey ,Morocco,0,Germany FR,1
1986,18 Jun 1986 - 12:00 ,Round of 16,Mexico City ,England,3,Paraguay,0
1986,18 Jun 1986 - 16:00 ,Round of 16,Queretaro ,Denmark,1,Spain,5
1986,21 Jun 1986 - 12:00 ,Quarter-finals,Guadalajara ,Brazil,1,France,1
1986,21 Jun 1986 - 16:00 ,Quarter-finals,Monterrey ,Germany FR,0,Mexico,0
1986,22 Jun 1986 - 16:00 ,Quarter-finals,Puebla ,Spain,1,Belgium,1
1986,22 Jun 1986 - 12:00 ,Quarter-finals,Mexico City ,Argentina,2,England,1
1986,25 Jun 1986 - 12:00 ,Semi-finals,Guadalajara ,France,0,Germany FR,2
1986,25 Jun 1986 - 16:00 ,Semi-finals,Mexico City ,Argentina,2,Belgium,0
1986,28 Jun 1986 - 12:00 ,Match for third place,Puebla ,France,4,Belgium,2
1986,29 Jun 1986 - 12:00 ,Final,Mexico City ,Argentina,3,Germany FR,2
1990,08 Jun 1990 - 18:00 ,Group B,Milan ,Argentina,0,Cameroon,1
1990,09 Jun 1990 - 17:00 ,Group B,Bari ,Soviet Union,0,Romania,2
1990,09 Jun 1990 - 17:00 ,Group D,Bologna ,"rn"">United Arab Emirates",0,Colombia,2
1990,09 Jun 1990 - 21:00 ,Group A,Rome ,Italy,1,Austria,0
1990,10 Jun 1990 - 17:00 ,Group A,Florence ,USA,1,Czechoslovakia,5
1990,10 Jun 1990 - 21:00 ,Group C,Turin ,Brazil,2,Sweden,1
1990,10 Jun 1990 - 21:00 ,Group D,Milan ,Germany FR,4,Yugoslavia,1
1990,11 Jun 1990 - 17:00 ,Group C,Genoa ,Costa Rica,1,Scotland,0
1990,11 Jun 1990 - 21:00 ,Group F,Cagliari ,England,1,"rn"">Republic of Ireland",1
1990,12 Jun 1990 - 17:00 ,Group E,Verona ,Belgium,2,Korea Republic,0
1990,12 Jun 1990 - 21:00 ,Group F,Palermo ,Netherlands,1,Egypt,1
1990,13 Jun 1990 - 17:00 ,Group E,Udine ,Uruguay,0,Spain,0
1990,13 Jun 1990 - 21:00 ,Group B,Naples ,Argentina,2,Soviet Union,0
1990,14 Jun 1990 - 17:00 ,Group B,Bari ,Cameroon,2,Romania,1
1990,14 Jun 1990 - 17:00 ,Group D,Bologna ,Yugoslavia,1,Colombia,0
1990,14 Jun 1990 - 21:00 ,Group A,Rome ,Italy,1,USA,0
1990,15 Jun 1990 - 17:00 ,Group A,Florence ,Austria,0,Czechoslovakia,1
1990,15 Jun 1990 - 21:00 ,Group D,Milan ,Germany FR,5,"rn"">United Arab Emirates",1
1990,16 Jun 1990 - 17:00 ,Group C,Turin ,Brazil,1,Costa Rica,0
1990,16 Jun 1990 - 21:00 ,Group C,Genoa ,Sweden,1,Scotland,2
1990,16 Jun 1990 - 21:00 ,Group F,Cagliari ,England,0,Netherlands,0
1990,17 Jun 1990 - 17:00 ,Group F,Palermo ,"rn"">Republic of Ireland",0,Egypt,0
1990,17 Jun 1990 - 21:00 ,Group E,Udine ,Korea Republic,1,Spain,3
1990,17 Jun 1990 - 21:00 ,Group E,Verona ,Belgium,3,Uruguay,1
1990,18 Jun 1990 - 21:00 ,Group B,Naples ,Argentina,1,Romania,1
1990,18 Jun 1990 - 21:00 ,Group B,Bari ,Cameroon,0,Soviet Union,4
1990,19 Jun 1990 - 17:00 ,Group D,Milan ,Germany FR,1,Colombia,1
1990,19 Jun 1990 - 17:00 ,Group D,Bologna ,Yugoslavia,4,"rn"">United Arab Emirates",1
1990,19 Jun 1990 - 21:00 ,Group A,Rome ,Italy,2,Czechoslovakia,0
1990,19 Jun 1990 - 21:00 ,Group A,Florence ,Austria,2,USA,1
1990,20 Jun 1990 - 21:00 ,Group C,Turin ,Brazil,1,Scotland,0
1990,20 Jun 1990 - 21:00 ,Group C,Genoa ,Sweden,1,Costa Rica,2
1990,21 Jun 1990 - 17:00 ,Group E,Udine ,Korea Republic,0,Uruguay,1
1990,21 Jun 1990 - 17:00 ,Group E,Verona ,Belgium,1,Spain,2
1990,21 Jun 1990 - 21:00 ,Group F,Palermo ,"rn"">Republic of Ireland",1,Netherlands,1
1990,21 Jun 1990 - 21:00 ,Group F,Cagliari ,England,1,Egypt,0
1990,23 Jun 1990 - 17:00 ,Round of 16,Naples ,Cameroon,2,Colombia,1
1990,23 Jun 1990 - 21:00 ,Round of 16,Bari ,Czechoslovakia,4,Costa Rica,1
1990,24 Jun 1990 - 17:00 ,Round of 16,Turin ,Brazil,0,Argentina,1
1990,24 Jun 1990 - 21:00 ,Round of 16,Milan ,Germany FR,2,Netherlands,1
1990,25 Jun 1990 - 17:00 ,Round of 16,Genoa ,"rn"">Republic of Ireland",0,Romania,0
1990,25 Jun 1990 - 21:00 ,Round of 16,Rome ,Italy,2,Uruguay,0
1990,26 Jun 1990 - 17:00 ,Round of 16,Verona ,Spain,1,Yugoslavia,2
1990,26 Jun 1990 - 21:00 ,Round of 16,Bologna ,England,1,Belgium,0
1990,30 Jun 1990 - 17:00 ,Quarter-finals,Florence ,Yugoslavia,0,Argentina,0
1990,30 Jun 1990 - 21:00 ,Quarter-finals,Rome ,Italy,1,"rn"">Republic of Ireland",0
1990,01 Jul 1990 - 17:00 ,Quarter-finals,Milan ,Germany FR,1,Czechoslovakia,0
1990,01 Jul 1990 - 21:00 ,Quarter-finals,Naples ,England,3,Cameroon,2
1990,03 Jul 1990 - 20:00 ,Semi-finals,Naples ,Italy,1,Argentina,1
1990,04 Jul 1990 - 20:00 ,Semi-finals,Turin ,Germany FR,1,England,1
1990,07 Jul 1990 - 20:00 ,Match for third place,Bari ,Italy,2,England,1
1990,08 Jul 1990 - 20:00 ,Final,Rome ,Germany FR,1,Argentina,0
1994,17 Jun 1994 - 19:30 ,Group C,Dallas ,Spain,2,Korea Republic,2
1994,17 Jun 1994 - 15:00 ,Group C,Chicago ,Germany,1,Bolivia,0
1994,18 Jun 1994 - 11:30 ,Group A,Detroit ,USA,1,Switzerland,1
1994,18 Jun 1994 - 16:00 ,Group E,New York/New Jersey ,Italy,0,"rn"">Republic of Ireland",1
1994,18 Jun 1994 - 19:30 ,Group A,Los Angeles ,Colombia,1,Romania,3
1994,19 Jun 1994 - 12:30 ,Group F,Orlando ,Belgium,1,Morocco,0
1994,19 Jun 1994 - 16:00 ,Group E,Washington Dc ,Norway,1,Mexico,0
1994,19 Jun 1994 - 19:30 ,Group B,Los Angeles ,Cameroon,2,Sweden,2
1994,20 Jun 1994 - 19:30 ,Group F,Washington Dc ,Netherlands,2,Saudi Arabia,1
1994,20 Jun 1994 - 16:00 ,Group B,San Francisco ,Brazil,2,Russia,0
1994,21 Jun 1994 - 12:30 ,Group D,Boston ,Argentina,4,Greece,0
1994,21 Jun 1994 - 19:30 ,Group D,Dallas ,Nigeria,3,Bulgaria,0
1994,21 Jun 1994 - 16:00 ,Group C,Chicago ,Germany,1,Spain,1
1994,22 Jun 1994 - 16:00 ,Group A,Detroit ,Romania,1,Switzerland,4
1994,22 Jun 1994 - 19:30 ,Group A,Los Angeles ,USA,2,Colombia,1
1994,23 Jun 1994 - 16:00 ,Group E,New York/New Jersey ,Italy,1,Norway,0
1994,23 Jun 1994 - 19:30 ,Group C,Boston ,Korea Republic,0,Bolivia,0
1994,24 Jun 1994 - 12:30 ,Group E,Orlando ,Mexico,2,"rn"">Republic of Ireland",1
1994,24 Jun 1994 - 19:30 ,Group B,Detroit ,Sweden,3,Russia,1
1994,24 Jun 1994 - 16:00 ,Group B,San Francisco ,Brazil,3,Cameroon,0
1994,25 Jun 1994 - 12:30 ,Group F,Orlando ,Belgium,1,Netherlands,0
1994,25 Jun 1994 - 12:30 ,Group F,New York/New Jersey ,Saudi Arabia,2,Morocco,1
1994,25 Jun 1994 - 16:00 ,Group D,Boston ,Argentina,2,Nigeria,1
1994,26 Jun 1994 - 12:30 ,Group D,Chicago ,Bulgaria,4,Greece,0
1994,26 Jun 1994 - 16:00 ,Group A,Los Angeles ,USA,0,Romania,1
1994,26 Jun 1994 - 16:00 ,Group A,San Francisco ,Switzerland,0,Colombia,2
1994,27 Jun 1994 - 16:00 ,Group C,Dallas ,Germany,3,Korea Republic,2
1994,27 Jun 1994 - 16:00 ,Group C,Chicago ,Bolivia,1,Spain,3
1994,28 Jun 1994 - 12:30 ,Group E,New York/New Jersey ,"rn"">Republic of Ireland",0,Norway,0
1994,28 Jun 1994 - 16:00 ,Group B,Detroit ,Brazil,1,Sweden,1
1994,28 Jun 1994 - 12:30 ,Group E,Washington Dc ,Italy,1,Mexico,1
1994,28 Jun 1994 - 16:00 ,Group B,San Francisco ,Russia,6,Cameroon,1
1994,29 Jun 1994 - 12:30 ,Group F,Orlando ,Morocco,1,Netherlands,2
1994,29 Jun 1994 - 12:30 ,Group F,Washington Dc ,Belgium,0,Saudi Arabia,1
1994,30 Jun 1994 - 19:30 ,Group D,Boston ,Greece,0,Nigeria,2
1994,30 Jun 1994 - 19:30 ,Group D,Dallas ,Argentina,0,Bulgaria,2
1994,02 Jul 1994 - 12:00 ,Round of 16,Chicago ,Germany,3,Belgium,2
1994,02 Jul 1994 - 16:30 ,Round of 16,Washington Dc ,Spain,3,Switzerland,0
1994,03 Jul 1994 - 12:00 ,Round of 16,Dallas ,Saudi Arabia,1,Sweden,3
1994,03 Jul 1994 - 13:30 ,Round of 16,Los Angeles ,Romania,3,Argentina,2
1994,04 Jul 1994 - 12:00 ,Round of 16,Orlando ,Netherlands,2,"rn"">Republic of Ireland",0
1994,04 Jul 1994 - 12:30 ,Round of 16,San Francisco ,Brazil,1,USA,0
1994,05 Jul 1994 - 13:00 ,Round of 16,Boston ,Nigeria,1,Italy,2
1994,05 Jul 1994 - 16:30 ,Round of 16,New York/New Jersey ,Mexico,1,Bulgaria,1
1994,09 Jul 1994 - 12:00 ,Quarter-finals,Boston ,Italy,2,Spain,1
1994,09 Jul 1994 - 14:30 ,Quarter-finals,Dallas ,Netherlands,2,Brazil,3
1994,10 Jul 1994 - 12:00 ,Quarter-finals,New York/New Jersey ,Bulgaria,2,Germany,1
1994,10 Jul 1994 - 12:30 ,Quarter-finals,San Francisco ,Romania,2,Sweden,2
1994,13 Jul 1994 - 16:00 ,Semi-finals,New York/New Jersey ,Bulgaria,1,Italy,2
1994,13 Jul 1994 - 16:30 ,Semi-finals,Los Angeles ,Sweden,0,Brazil,1
1994,16 Jul 1994 - 12:30 ,Match for third place,Los Angeles ,Sweden,4,Bulgaria,0
1994,17 Jul 1994 - 12:30 ,Final,Los Angeles ,Brazil,0,Italy,0
1998,10 Jun 1998 - 17:30 ,Group A,Saint-Denis ,Brazil,2,Scotland,1
1998,10 Jun 1998 - 21:00 ,Group A,Montpellier ,Morocco,2,Norway,2
1998,11 Jun 1998 - 17:30 ,Group B,Bordeaux ,Italy,2,Chile,2
1998,11 Jun 1998 - 21:00 ,Group B,Toulouse ,Cameroon,1,Austria,1
1998,12 Jun 1998 - 14:30 ,Group D,Montpellier ,Paraguay,0,Bulgaria,0
1998,12 Jun 1998 - 17:30 ,Group C,Lens ,Saudi Arabia,0,Denmark,1
1998,12 Jun 1998 - 21:00 ,Group C,Marseilles ,France,3,South Africa,0
1998,13 Jun 1998 - 14:30 ,Group D,Nantes ,Spain,2,Nigeria,3
1998,13 Jun 1998 - 17:30 ,Group E,Lyon ,Korea Republic,1,Mexico,3
1998,13 Jun 1998 - 21:00 ,Group E,Saint-Denis ,Netherlands,0,Belgium,0
1998,14 Jun 1998 - 14:30 ,Group H,Toulouse ,Argentina,1,Japan,0
1998,14 Jun 1998 - 17:30 ,Group F,Saint-Etienne ,Yugoslavia,1,Iran,0
1998,14 Jun 1998 - 21:00 ,Group H,Lens ,Jamaica,1,Croatia,3
1998,15 Jun 1998 - 14:30 ,Group G,Marseilles ,England,2,Tunisia,0
1998,15 Jun 1998 - 17:30 ,Group G,Lyon ,Romania,1,Colombia,0
1998,15 Jun 1998 - 21:00 ,Group F,Paris ,Germany,2,USA,0
1998,16 Jun 1998 - 17:30 ,Group A,Bordeaux ,Scotland,1,Norway,1
1998,16 Jun 1998 - 21:00 ,Group A,Nantes ,Brazil,3,Morocco,0
1998,17 Jun 1998 - 17:30 ,Group B,Saint-Etienne ,Chile,1,Austria,1
1998,17 Jun 1998 - 21:00 ,Group B,Montpellier ,Italy,3,Cameroon,0
1998,18 Jun 1998 - 17:30 ,Group C,Toulouse ,South Africa,1,Denmark,1
1998,18 Jun 1998 - 21:00 ,Group C,Saint-Denis ,France,4,Saudi Arabia,0
1998,19 Jun 1998 - 17:30 ,Group D,Paris ,Nigeria,1,Bulgaria,0
1998,19 Jun 1998 - 21:00 ,Group D,Saint-Etienne ,Spain,0,Paraguay,0
1998,20 Jun 1998 - 14:30 ,Group H,Nantes ,Japan,0,Croatia,1
1998,20 Jun 1998 - 17:30 ,Group E,Bordeaux ,Belgium,2,Mexico,2
1998,20 Jun 1998 - 21:00 ,Group E,Marseilles ,Netherlands,5,Korea Republic,0
1998,21 Jun 1998 - 14:30 ,Group F,Lens ,Germany,2,Yugoslavia,2
1998,21 Jun 1998 - 17:30 ,Group H,Paris ,Argentina,5,Jamaica,0
1998,21 Jun 1998 - 21:00 ,Group F,Lyon ,USA,1,Iran,2
1998,22 Jun 1998 - 17:30 ,Group G,Montpellier ,Colombia,1,Tunisia,0
1998,22 Jun 1998 - 21:00 ,Group G,Toulouse ,Romania,2,England,1
1998,23 Jun 1998 - 16:00 ,Group B,Saint-Denis ,Italy,2,Austria,1
1998,23 Jun 1998 - 16:00 ,Group B,Nantes ,Chile,1,Cameroon,1
1998,23 Jun 1998 - 21:00 ,Group A,Saint-Etienne ,Scotland,0,Morocco,3
1998,23 Jun 1998 - 21:00 ,Group A,Marseilles ,Brazil,1,Norway,2
1998,24 Jun 1998 - 16:00 ,Group C,Lyon ,France,2,Denmark,1
1998,24 Jun 1998 - 16:00 ,Group C,Bordeaux ,South Africa,2,Saudi Arabia,2
1998,24 Jun 1998 - 21:00 ,Group D,Lens ,Spain,6,Bulgaria,1
1998,24 Jun 1998 - 21:00 ,Group D,Toulouse ,Nigeria,1,Paraguay,3
1998,25 Jun 1998 - 16:00 ,Group E,Paris ,Belgium,1,Korea Republic,1
1998,25 Jun 1998 - 16:00 ,Group E,Saint-Etienne ,Netherlands,2,Mexico,2
1998,25 Jun 1998 - 21:00 ,Group F,Montpellier ,Germany,2,Iran,0
1998,25 Jun 1998 - 21:00 ,Group F,Nantes ,USA,0,Yugoslavia,1
1998,26 Jun 1998 - 16:00 ,Group H,Lyon ,Japan,1,Jamaica,2
1998,26 Jun 1998 - 16:00 ,Group H,Bordeaux ,Argentina,1,Croatia,0
1998,26 Jun 1998 - 21:00 ,Group G,Saint-Denis ,Romania,1,Tunisia,1
1998,26 Jun 1998 - 21:00 ,Group G,Lens ,Colombia,0,England,2
1998,27 Jun 1998 - 16:30 ,Round of 16,Marseilles ,Italy,1,Norway,0
1998,27 Jun 1998 - 21:00 ,Round of 16,Paris ,Brazil,4,Chile,1
1998,28 Jun 1998 - 16:30 ,Round of 16,Lens ,France,1,Paraguay,0
1998,28 Jun 1998 - 21:00 ,Round of 16,Saint-Denis ,Nigeria,1,Denmark,4
1998,29 Jun 1998 - 16:30 ,Round of 16,Montpellier ,Germany,2,Mexico,1
1998,29 Jun 1998 - 21:00 ,Round of 16,Toulouse ,Netherlands,2,Yugoslavia,1
1998,30 Jun 1998 - 16:30 ,Round of 16,Bordeaux ,Romania,0,Croatia,1
