Year,Datetime,Stage,City,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1998,30 Jun 1998 - 21:00 ,Round of 16,Saint-Etienne ,Argentina,2,England,2
1998,03 Jul 1998 - 16:30 ,Quarter-finals,Saint-Denis ,Italy,0,France,0
1998,03 Jul 1998 - 21:00 ,Quarter-finals,Nantes ,Brazil,3,Denmark,2
1998,04 Jul 1998 - 16:30 ,Quarter-finals,Marseilles ,Netherlands,2,Argentina,1
1998,04 Jul 1998 - 21:00 ,Quarter-finals,Lyon ,Germany,0,Croatia,3
1998,07 Jul 1998 - 21:00 ,Semi-finals,Marseilles ,Brazil,1,Netherlands,1
1998,08 Jul 1998 - 21:00 ,Semi-finals,Saint-Denis ,France,2,Croatia,1
1998,11 Jul 1998 - 21:00 ,Match for third place,Paris ,Netherlands,1,Croatia,2
1998,12 Jul 1998 - 21:00 ,Final,Saint-Denis ,Brazil,0,France,3
2002,31 May 2002 - 20:30 ,Group A,Seoul ,France,0,Senegal,1
2002,01 Jun 2002 - 18:00 ,Group A,Ulsan ,Uruguay,1,Denmark,2
2002,01 Jun 2002 - 15:30 ,Group E,Niigata ,"rn"">Republic of Ireland",1,Cameroon,1
2002,01 Jun 2002 - 20:30 ,Group E,Sapporo ,Germany,8,Saudi Arabia,0
2002,02 Jun 2002 - 14:30 ,Group F,Ibaraki ,Argentina,1,Nigeria,0
2002,02 Jun 2002 - 16:30 ,Group B,Busan ,Paraguay,2,South Africa,2
2002,02 Jun 2002 - 18:30 ,Group F,Saitama ,England,1,Sweden,1
2002,02 Jun 2002 - 20:30 ,Group B,Gwangju ,Spain,3,Slovenia,1
2002,03 June 2002 - 18:00 ,Group C,Ulsan ,Brazil,2,Turkey,1
2002,03 Jun 2002 - 20:30 ,Group G,Sapporo ,Italy,2,Ecuador,0
2002,03 Jun 2002 - 15:30 ,Group G,Niigata ,Croatia,0,Mexico,1
2002,04 June 2002 - 15:30 ,Group C,Gwangju ,China PR,0,Costa Rica,2
2002,04 June 2002 - 18:00 ,Group H,Saitama ,Japan,2,Belgium,2
2002,04 Jun 2002 - 20:30 ,Group D,Busan ,Korea Republic,2,Poland,0
2002,05 Jun 2002 - 15:30 ,Group H,Kobe ,Russia,2,Tunisia,0
2002,05 Jun 2002 - 18:00 ,Group D,Suwon ,USA,3,Portugal,2
2002,05 Jun 2002 - 20:30 ,Group E,Ibaraki ,Germany,1,"rn"">Republic of Ireland",1
2002,06 Jun 2002 - 15:30 ,Group A,Daegu ,Denmark,1,Senegal,1
2002,06 Jun 2002 - 18:00 ,Group E,Saitama ,Cameroon,1,Saudi Arabia,0
2002,06 Jun 2002 - 20:30 ,Group A,Busan ,France,0,Uruguay,0
2002,07 Jun 2002 - 15:30 ,Group F,Kobe ,Sweden,2,Nigeria,1
2002,07 Jun 2002 - 20:30 ,Group F,Sapporo ,Argentina,0,England,1
2002,07 June 2002 - 18:00 ,Group B,Jeonju ,Spain,3,Paraguay,1
2002,08 Jun 2002 - 15:30 ,Group B,Daegu ,South Africa,1,Slovenia,0
2002,08 Jun 2002 - 20:30 ,Group C,Jeju ,Brazil,4,China PR,0
2002,08 June 2002 - 18:00 ,Group G,Ibaraki ,Italy,1,Croatia,2
2002,09 Jun 2002 - 18:00 ,Group C,Incheon ,Costa Rica,1,Turkey,1
2002,09 Jun 2002 - 20:30 ,Group H,Yokohama ,Japan,1,Russia,0
2002,09 Jun 2002 - 15:30 ,Group G,Rifu ,Mexico,2,Ecuador,1
2002,10 Jun 2002 - 15:30 ,Group D,Daegu ,Korea Republic,1,USA,1
2002,10 Jun 2002 - 20:30 ,Group D,Jeonju ,Portugal,4,Poland,0
2002,10 Jun 2002 - 18:00 ,Group H,Oita ,Tunisia,1,Belgium,1
2002,11 Jun 2002 - 15:30 ,Group A,Incheon ,Denmark,2,France,0
2002,11 June 2002 - 15:30 ,Group A,Suwon ,Senegal,3,Uruguay,3
2002,11 Jun 2002 - 20:30 ,Group E,Yokohama ,Saudi Arabia,0,"rn"">Republic of Ireland",3
2002,11 Jun 2002 - 20:30 ,Group E,Shizuoka ,Cameroon,0,Germany,2
2002,12 Jun 2002 - 15:30 ,Group F,Rifu ,Sweden,1,Argentina,1
2002,12 Jun 2002 - 15:30 ,Group F,Osaka ,Nigeria,0,England,0
2002,12 Jun 2002 - 20:30 ,Group B,Jeju ,Slovenia,1,Paraguay,3
2002,12 Jun 2002 - 20:30 ,Group B,Daejeon ,South Africa,2,Spain,3
2002,13 Jun 2002 - 15:30 ,Group C,Suwon ,Costa Rica,2,Brazil,5
2002,13 Jun 2002 - 15:30 ,Group C,Seoul ,Turkey,3,China PR,0
2002,13 Jun 2002 - 20:30 ,Group G,Yokohama ,Ecuador,1,Croatia,0
2002,13 Jun 2002 - 20:30 ,Group G,Oita ,Mexico,1,Italy,1
2002,14 Jun 2002 - 15:30 ,Group H,Osaka ,Tunisia,0,Japan,2
2002,14 Jun 2002 - 20:30 ,Group D,Incheon ,Portugal,0,Korea Republic,1
2002,14 Jun 2002 - 20:30 ,Group D,Daejeon ,Poland,3,USA,1
2002,14 Jun 2002 - 15:30 ,Group H,Shizuoka ,Belgium,3,Russia,2
2002,15 Jun 2002 - 20:30 ,Round of 16,Niigata ,Denmark,0,England,3
2002,15 Jun 2002 - 15:30 ,Round of 16,Jeju ,Germany,1,Paraguay,0
2002,16 Jun 2002 - 20:30 ,Round of 16,Suwon ,Spain,1,"rn"">Republic of Ireland",1
2002,16 Jun 2002 - 15:30 ,Round of 16,Oita ,Sweden,1,Senegal,2
2002,17 Jun 2002 - 20:30 ,Round of 16,Kobe ,Brazil,2,Belgium,0
2002,17 June 2002 - 15:30 ,Round of 16,Jeonju ,Mexico,0,USA,2
2002,18 Jun 2002 - 15:30 ,Round of 16,Rifu ,Japan,0,Turkey,1
2002,18 Jun 2002 - 20:30 ,Round of 16,Daejeon ,Korea Republic,2,Italy,1
2002,21 Jun 2002 - 15:30 ,Quarter-finals,Shizuoka ,England,1,Brazil,2
2002,21 Jun 2002 - 20:30 ,Quarter-finals,Ulsan ,Germany,1,USA,0
2002,22 Jun 2002 - 20:30 ,Quarter-finals,Osaka ,Senegal,0,Turkey,1
2002,22 Jun 2002 - 15:30 ,Quarter-finals,Gwangju ,Spain,0,Korea Republic,0
2002,25 Jun 2002 - 20:30 ,Semi-finals,Seoul ,Germany,1,Korea Republic,0
2002,26 Jun 2002 - 20:30 ,Semi-finals,Saitama ,Brazil,1,Turkey,0
2002,29 Jun 2002 - 20:00 ,Third place,Daegu ,Korea Republic,2,Turkey,3
2002,30 Jun 2002 - 20:00 ,Final,Yokohama ,Germany,0,Brazil,2
2006,09 Jun 2006 - 18:00 ,Group A,Munich ,Germany,4,Costa Rica,2
2006,09 Jun 2006 - 21:00 ,Group A,Gelsenkirchen ,Poland,0,Ecuador,2
2006,10 Jun 2006 - 15:00 ,Group B,Frankfurt/Main ,England,1,Paraguay,0
2006,10 Jun 2006 - 18:00 ,Group B,Dortmund ,"rn"">Trinidad and Tobago",0,Sweden,0
2006,10 Jun 2006 - 21:00 ,Group C,Hamburg ,Argentina,2,C�te d'Ivoire,1
2006,11 Jun 2006 - 15:00 ,Group C,Leipzig ,"rn"">Serbia and Montenegro",0,Netherlands,1
2006,11 Jun 2006 - 18:00 ,Group D,Nuremberg ,Mexico,3,Iran,1
2006,11 Jun 2006 - 21:00 ,Group D,Cologne ,Angola,0,Portugal,1
2006,12 Jun 2006 - 15:00 ,Group F,Kaiserslautern ,Australia,3,Japan,1
2006,12 Jun 2006 - 18:00 ,Group E,Gelsenkirchen ,USA,0,Czech Republic,3
2006,12 Jun 2006 - 21:00 ,Group E,Hanover ,Italy,2,Ghana,0
2006,13 Jun 2006 - 15:00 ,Group G,Frankfurt/Main ,Korea Republic,2,Togo,1
2006,13 Jun 2006 - 18:00 ,Group G,Stuttgart ,France,0,Switzerland,0
2006,13 Jun 2006 - 21:00 ,Group F,Berlin ,Brazil,1,Croatia,0
2006,14 Jun 2006 - 15:00 ,Group H,Leipzig ,Spain,4,Ukraine,0
2006,14 Jun 2006 - 18:00 ,Group H,Munich ,Tunisia,2,Saudi Arabia,2
2006,14 Jun 2006 - 21:00 ,Group A,Dortmund ,Germany,1,Poland,0
2006,15 Jun 2006 - 15:00 ,Group A,Hamburg ,Ecuador,3,Costa Rica,0
2006,15 Jun 2006 - 18:00 ,Group B,Nuremberg ,England,2,"rn"">Trinidad and Tobago",0
2006,15 Jun 2006 - 21:00 ,Group B,Berlin ,Sweden,1,Paraguay,0
2006,16 Jun 2006 - 15:00 ,Group C,Gelsenkirchen ,Argentina,6,"rn"">Serbia and Montenegro",0
2006,16 Jun 2006 - 18:00 ,Group C,Stuttgart ,Netherlands,2,C�te d'Ivoire,1
2006,16 Jun 2006 - 21:00 ,Group D,Hanover ,Mexico,0,Angola,0
2006,17 Jun 2006 - 15:00 ,Group D,Frankfurt/Main ,Portugal,2,IR Iran,0
2006,17 Jun 2006 - 18:00 ,Group E,Cologne ,Czech Republic,0,Ghana,2
2006,17 Jun 2006 - 21:00 ,Group E,Kaiserslautern ,Italy,1,USA,1
2006,18 Jun 2006 - 15:00 ,Group F,Nuremberg ,Japan,0,Croatia,0
2006,18 Jun 2006 - 18:00 ,Group F,Munich ,Brazil,2,Australia,0
2006,18 Jun 2006 - 21:00 ,Group G,Leipzig ,France,1,Korea Republic,1
2006,19 Jun 2006 - 15:00 ,Group G,Dortmund ,Togo,0,Switzerland,2
2006,19 Jun 2006 - 18:00 ,Group H,Hamburg ,Saudi Arabia,0,Ukraine,4
2006,19 Jun 2006 - 21:00 ,Group H,Stuttgart ,Spain,3,Tunisia,1
2006,20 Jun 2006 - 16:00 ,Group A,Berlin ,Ecuador,0,Germany,3
2006,20 Jun 2006 - 16:00 ,Group A,Hanover ,Costa Rica,1,Poland,2
2006,20 Jun 2006 - 21:00 ,Group B,Cologne ,Sweden,2,England,2
2006,20 Jun 2006 - 21:00 ,Group B,Kaiserslautern ,Paraguay,2,"rn"">Trinidad and Tobago",0
2006,21 Jun 2006 - 16:00 ,Group D,Leipzig ,Iran,1,Angola,1
2006,21 Jun 2006 - 16:00 ,Group D,Gelsenkirchen ,Portugal,2,Mexico,1
2006,21 Jun 2006 - 21:00 ,Group C,Frankfurt/Main ,Netherlands,0,Argentina,0
2006,21 Jun 2006 - 21:00 ,Group C,Munich ,C�te d'Ivoire,3,"rn"">Serbia and Montenegro",2
2006,22 Jun 2006 - 16:00 ,Group E,Hamburg ,Czech Republic,0,Italy,2
2006,22 Jun 2006 - 16:00 ,Group E,Nuremberg ,Ghana,2,USA,1
2006,22 Jun 2006 - 21:00 ,Group F,Dortmund ,Japan,1,Brazil,4
2006,22 Jun 2006 - 21:00 ,Group F,Stuttgart ,Croatia,2,Australia,2
2006,23 Jun 2006 - 16:00 ,Group H,Berlin ,Ukraine,1,Tunisia,0
2006,23 Jun 2006 - 16:00 ,Group H,Kaiserslautern ,Saudi Arabia,0,Spain,1
2006,23 Jun 2006 - 21:00 ,Group G,Cologne ,Togo,0,France,2
2006,23 Jun 2006 - 21:00 ,Group G,Hanover ,Switzerland,2,Korea Republic,0
2006,24 Jun 2006 - 17:00 ,Round of 16,Munich ,Germany,2,Sweden,0
2006,24 Jun 2006 - 21:00 ,Round of 16,Leipzig ,Argentina,2,Mexico,1
2006,25 Jun 2006 - 17:00 ,Round of 16,Stuttgart ,England,1,Ecuador,0
2006,25 Jun 2006 - 21:00 ,Round of 16,Nuremberg ,Portugal,1,Netherlands,0
2006,26 Jun 2006 - 17:00 ,Round of 16,Kaiserslautern ,Italy,1,Australia,0
2006,26 Jun 2006 - 21:00 ,Round of 16,Cologne ,Switzerland,0,Ukraine,0
2006,27 Jun 2006 - 17:00 ,Round of 16,Dortmund ,Brazil,3,Ghana,0
2006,27 Jun 2006 - 21:00 ,Round of 16,Hanover ,Spain,1,France,3
2006,30 Jun 2006 - 17:00 ,Quarter-finals,Berlin ,Germany,1,Argentina,1
2006,30 Jun 2006 - 21:00 ,Quarter-finals,Hamburg ,Italy,3,Ukraine,0
2006,01 Jul 2006 - 17:00 ,Quarter-finals,Gelsenkirchen ,England,0,Portugal,0
2006,01 Jul 2006 - 21:00 ,Quarter-finals,Frankfurt/Main ,Brazil,0,France,1
2006,04 Jul 2006 - 21:00 ,Semi-finals,Dortmund ,Germany,0,Italy,2
2006,05 Jul 2006 - 21:00 ,Semi-finals,Munich ,Portugal,0,France,1
2006,08 Jul 2006 - 21:00 ,Third place,Stuttgart ,Germany,3,Portugal,1
2006,09 Jul 2006 - 20:00 ,Final,Berlin ,Italy,1,France,1
2010,11 Jun 2010 - 16:00 ,Group A,Johannesburg ,South Africa,1,Mexico,1
2010,11 Jun 2010 - 20:30 ,Group A,Cape Town ,Uruguay,0,France,0
2010,12 Jun 2010 - 13:30 ,Group B,Nelson Mandela Bay/Port Elizabeth ,Korea Republic,2,Greece,0
2010,12 Jun 2010 - 16:00 ,Group B,Johannesburg ,Argentina,1,Nigeria,0
2010,12 Jun 2010 - 20:30 ,Group C,Phokeng ,England,1,USA,1
2010,13 Jun 2010 - 13:30 ,Group C,Polokwane ,Algeria,0,Slovenia,1
2010,13 Jun 2010 - 16:00 ,Group D,Tshwane/Pretoria ,Serbia,0,Ghana,1
2010,13 Jun 2010 - 20:30 ,Group D,Durban ,Germany,4,Australia,0
2010,14 Jun 2010 - 13:30 ,Group E,Johannesburg ,Netherlands,2,Denmark,0
2010,14 Jun 2010 - 16:00 ,Group E,Mangaung/Bloemfontein ,Japan,1,Cameroon,0
2010,14 Jun 2010 - 20:30 ,Group F,Cape Town ,Italy,1,Paraguay,1
2010,15 Jun 2010 - 13:30 ,Group F,Phokeng ,New Zealand,1,Slovakia,1
2010,15 Jun 2010 - 16:00 ,Group G,Nelson Mandela Bay/Port Elizabeth ,C�te d'Ivoire,0,Portugal,0
2010,15 Jun 2010 - 20:30 ,Group G,Johannesburg ,Brazil,2,Korea DPR,1
2010,16 Jun 2010 - 13:30 ,Group H,Nelspruit ,Honduras,0,Chile,1
2010,16 Jun 2010 - 16:00 ,Group H,Durban ,Spain,0,Switzerland,1
2010,16 Jun 2010 - 20:30 ,Group A,Tshwane/Pretoria ,South Africa,0,Uruguay,3
2010,17 Jun 2010 - 13:30 ,Group B,Johannesburg ,Argentina,4,Korea Republic,1
2010,17 Jun 2010 - 16:00 ,Group B,Mangaung/Bloemfontein ,Greece,2,Nigeria,1
2010,17 Jun 2010 - 20:30 ,Group A,Polokwane ,France,0,Mexico,2
2010,18 Jun 2010 - 13:30 ,Group D,Nelson Mandela Bay/Port Elizabeth ,Germany,0,Serbia,1
2010,18 Jun 2010 - 16:00 ,Group C,Johannesburg ,Slovenia,2,USA,2
2010,18 Jun 2010 - 20:30 ,Group C,Cape Town ,England,0,Algeria,0
2010,19 Jun 2010 - 13:30 ,Group E,Durban ,Netherlands,1,Japan,0
2010,19 Jun 2010 - 16:00 ,Group D,Phokeng ,Ghana,1,Australia,1
2010,19 Jun 2010 - 20:30 ,Group E,Tshwane/Pretoria ,Cameroon,1,Denmark,2
2010,20 Jun 2010 - 13:30 ,Group F,Mangaung/Bloemfontein ,Slovakia,0,Paraguay,2
2010,20 Jun 2010 - 16:00 ,Group F,Nelspruit ,Italy,1,New Zealand,1
2010,20 Jun 2010 - 20:30 ,Group G,Johannesburg ,Brazil,3,C�te d'Ivoire,1
2010,21 Jun 2010 - 13:30 ,Group G,Cape Town ,Portugal,7,Korea DPR,0
2010,21 Jun 2010 - 16:00 ,Group H,Nelson Mandela Bay/Port Elizabeth ,Chile,1,Switzerland,0
2010,21 Jun 2010 - 20:30 ,Group H,Johannesburg ,Spain,2,Honduras,0
2010,22 Jun 2010 - 16:00 ,Group A,Phokeng ,Mexico,0,Uruguay,1
2010,22 Jun 2010 - 16:00 ,Group A,Mangaung/Bloemfontein ,France,1,South Africa,2
2010,22 Jun 2010 - 20:30 ,Group B,Durban ,Nigeria,2,Korea Republic,2
2010,22 Jun 2010 - 20:30 ,Group B,Polokwane ,Greece,0,Argentina,2
2010,23 Jun 2010 - 16:00 ,Group C,Nelson Mandela Bay/Port Elizabeth ,Slovenia,0,England,1
2010,23 Jun 2010 - 16:00 ,Group C,Tshwane/Pretoria ,USA,1,Algeria,0
2010,23 Jun 2010 - 20:30 ,Group D,Johannesburg ,Ghana,0,Germany,1
2010,23 Jun 2010 - 20:30 ,Group D,Nelspruit ,Australia,2,Serbia,1
2010,24 Jun 2010 - 16:00 ,Group F,Johannesburg ,Slovakia,3,Italy,2
2010,24 Jun 2010 - 16:00 ,Group F,Polokwane ,Paraguay,0,New Zealand,0
2010,24 Jun 2010 - 20:30 ,Group E,Phokeng ,Denmark,1,Japan,3
2010,24 Jun 2010 - 20:30 ,Group E,Cape Town ,Cameroon,1,Netherlands,2
2010,25 Jun 2010 - 16:00 ,Group G,Durban ,Portugal,0,Brazil,0
2010,25 Jun 2010 - 16:00 ,Group G,Nelspruit ,Korea DPR,0,C�te d'Ivoire,3
2010,25 Jun 2010 - 20:30 ,Group H,Tshwane/Pretoria ,Chile,1,Spain,2
2010,25 Jun 2010 - 20:30 ,Group H,Mangaung/Bloemfontein ,Switzerland,0,Honduras,0
2010,26 Jun 2010 - 16:00 ,Round of 16,Nelson Mandela Bay/Port Elizabeth ,Uruguay,2,Korea Republic,1
2010,26 Jun 2010 - 20:30 ,Round of 16,Phokeng ,USA,1,Ghana,2
2010,27 Jun 2010 - 16:00 ,Round of 16,Mangaung/Bloemfontein ,Germany,4,England,1
2010,27 Jun 2010 - 20:30 ,Round of 16,Johannesburg ,Argentina,3,Mexico,1
2010,28 Jun 2010 - 16:00 ,Round of 16,Durban ,Netherlands,2,Slovakia,1
2010,28 Jun 2010 - 20:30 ,Round of 16,Johannesburg ,Brazil,3,Chile,0
2010,29 Jun 2010 - 16:00 ,Round of 16,Tshwane/Pretoria ,Paraguay,0,Japan,0
2010,29 Jun 2010 - 20:30 ,Round of 16,Cape Town ,Spain,1,Portugal,0
2010,02 Jul 2010 - 16:00 ,Quarter-finals,Nelson Mandela Bay/Port Elizabeth ,Netherlands,2,Brazil,1
2010,02 Jul 2010 - 20:30 ,Quarter-finals,Johannesburg ,Uruguay,1,Ghana,1
2010,03 Jul 2010 - 16:00 ,Quarter-finals,Cape Town ,Argentina,0,Germany,4
2010,03 Jul 2010 - 20:30 ,Quarter-finals,Johannesburg ,Paraguay,0,Spain,1
2010,06 Jul 2010 - 20:30 ,Semi-finals,Cape Town ,Uruguay,2,Netherlands,3
2010,07 Jul 2010 - 20:30 ,Semi-finals,Durban ,Germany,0,Spain,1
2010,10 Jul 2010 - 20:30 ,Match for third place,Nelson Mandela Bay/Port Elizabeth ,Uruguay,2,Germany,3
2010,11 Jul 2010 - 20:30 ,Final,Johannesburg ,Netherlands,0,Spain,1
2014,12 Jun 2014 - 17:00 ,Group A,Sao Paulo ,Brazil,3,Croatia,1
2014,13 Jun 2014 - 13:00 ,Group A,Natal ,Mexico,1,Cameroon,0
2014,13 Jun 2014 - 16:00 ,Group B,Salvador ,Spain,1,Netherlands,5
2014,13 Jun 2014 - 18:00 ,Group B,Cuiaba ,Chile,3,Australia,1
2014,14 Jun 2014 - 13:00 ,Group C,Belo Horizonte ,Colombia,3,Greece,0
2014,14 Jun 2014 - 16:00 ,Group D,Fortaleza ,Uruguay,1,Costa Rica,3
2014,14 Jun 2014 - 18:00 ,Group D,Manaus ,England,1,Italy,2
2014,14 Jun 2014 - 22:00 ,Group C,Recife ,C�te d'Ivoire,2,Japan,1
2014,15 Jun 2014 - 13:00 ,Group E,Brasilia ,Switzerland,2,Ecuador,1
2014,15 Jun 2014 - 16:00 ,Group E,Porto Alegre ,France,3,Honduras,0
2014,15 Jun 2014 - 19:00 ,Group F,Rio De Janeiro ,Argentina,2,"rn"">Bosnia and Herzegovina",1
2014,16 Jun 2014 - 13:00 ,Group G,Salvador ,Germany,4,Portugal,0
2014,16 Jun 2014 - 16:00 ,Group F,Curitiba ,IR Iran,0,Nigeria,0
2014,16 Jun 2014 - 19:00 ,Group G,Natal ,Ghana,1,USA,2
2014,17 Jun 2014 - 13:00 ,Group H,Belo Horizonte ,Belgium,2,Algeria,1
2014,17 Jun 2014 - 16:00 ,Group A,Fortaleza ,Brazil,0,Mexico,0
2014,17 Jun 2014 - 18:00 ,Group H,Cuiaba ,Russia,1,Korea Republic,1
2014,18 Jun 2014 - 13:00 ,Group B,Porto Alegre ,Australia,2,Netherlands,3
2014,18 Jun 2014 - 16:00 ,Group B,Rio De Janeiro ,Spain,0,Chile,2
2014,18 Jun 2014 - 18:00 ,Group A,Manaus ,Cameroon,0,Croatia,4
2014,19 Jun 2014 - 13:00 ,Group C,Brasilia ,Colombia,2,C�te d'Ivoire,1
2014,19 Jun 2014 - 16:00 ,Group D,Sao Paulo ,Uruguay,2,England,1
2014,19 Jun 2014 - 19:00 ,Group C,Natal ,Japan,0,Greece,0
2014,20 Jun 2014 - 13:00 ,Group D,Recife ,Italy,0,Costa Rica,1
2014,20 Jun 2014 - 16:00 ,Group E,Salvador ,Switzerland,2,France,5
2014,20 Jun 2014 - 19:00 ,Group E,Curitiba ,Honduras,1,Ecuador,2
2014,21 Jun 2014 - 13:00 ,Group F,Belo Horizonte ,Argentina,1,IR Iran,0
2014,21 Jun 2014 - 16:00 ,Group G,Fortaleza ,Germany,2,Ghana,2
2014,21 Jun 2014 - 18:00 ,Group F,Cuiaba ,Nigeria,1,"rn"">Bosnia and Herzegovina",0
2014,22 Jun 2014 - 13:00 ,Group H,Rio De Janeiro ,Belgium,1,Russia,0
2014,22 Jun 2014 - 16:00 ,Group H,Porto Alegre ,Korea Republic,2,Algeria,4
2014,22 Jun 2014 - 18:00 ,Group G,Manaus ,USA,2,Portugal,2
2014,23 Jun 2014 - 13:00 ,Group B,Curitiba ,Australia,0,Spain,3
2014,23 Jun 2014 - 13:00 ,Group B,Sao Paulo ,Netherlands,2,Chile,0
2014,23 Jun 2014 - 17:00 ,Group A,Brasilia ,Cameroon,1,Brazil,4
2014,23 Jun 2014 - 17:00 ,Group A,Recife ,Croatia,1,Mexico,3
2014,24 Jun 2014 - 13:00 ,Group D,Natal ,Italy,0,Uruguay,1
2014,24 Jun 2014 - 13:00 ,Group D,Belo Horizonte ,Costa Rica,0,England,0
2014,24 Jun 2014 - 16:00 ,Group C,Cuiaba ,Japan,1,Colombia,4
2014,24 Jun 2014 - 17:00 ,Group C,Fortaleza ,Greece,2,C�te d'Ivoire,1
2014,25 Jun 2014 - 13:00 ,Group F,Porto Alegre ,Nigeria,2,Argentina,3
2014,25 Jun 2014 - 13:00 ,Group F,Salvador ,"rn"">Bosnia and Herzegovina",3,IR Iran,1
2014,25 Jun 2014 - 16:00 ,Group E,Manaus ,Honduras,0,Switzerland,3
2014,25 Jun 2014 - 17:00 ,Group E,Rio De Janeiro ,Ecuador,0,France,0
2014,26 Jun 2014 - 13:00 ,Group G,Recife ,USA,0,Germany,1
2014,26 Jun 2014 - 13:00 ,Group G,Brasilia ,Portugal,2,Ghana,1
2014,26 Jun 2014 - 17:00 ,Group H,Sao Paulo ,Korea Republic,0,Belgium,1
2014,26 Jun 2014 - 17:00 ,Group H,Curitiba ,Algeria,1,Russia,1
2014,28 Jun 2014 - 13:00 ,Round of 16,Belo Horizonte ,Brazil,1,Chile,1
2014,28 Jun 2014 - 17:00 ,Round of 16,Rio De Janeiro ,Colombia,2,Uruguay,0
2014,30 Jun 2014 - 13:00 ,Round of 16,Brasilia ,France,2,Nigeria,0
2014,30 Jun 2014 - 17:00 ,Round of 16,Porto Alegre ,Germany,2,Algeria,1
2014,04 Jul 2014 - 17:00 ,Quarter-finals,Fortaleza ,Brazil,2,Colombia,1
2014,04 Jul 2014 - 13:00 ,Quarter-finals,Rio De Janeiro ,France,0,Germany,1
2014,08 Jul 2014 - 17:00 ,Semi-finals,Belo Horizonte ,Brazil,1,Germany,7
2014,12 Jul 2014 - 17:00 ,Play-off for third place,Brasilia ,Brazil,0,Netherlands,3
2014,13 Jul 2014 - 16:00 ,Final,Rio De Janeiro ,Germany,1,Argentina,0
2014,09 Jul 2014 - 17:00 ,Semi-finals,Sao Paulo ,Netherlands,0,Argentina,0
2014,05 Jul 2014 - 17:00 ,Quarter-finals,Salvador ,Netherlands,0,Costa Rica,0
2014,05 Jul 2014 - 13:00 ,Quarter-finals,Brasilia ,Argentina,1,Belgium,0
2014,29 Jun 2014 - 13:00 ,Round of 16,Fortaleza ,Netherlands,2,Mexico,1
2014,29 Jun 2014 - 17:00 ,Round of 16,Recife ,Costa Rica,1,Greece,1
2014,01 Jul 2014 - 13:00 ,Round of 16,Sao Paulo ,Argentina,1,Switzerland,0
2014,01 Jul 2014 - 17:00 ,Round of 16,Salvador ,Belgium,2,USA,1
2014,28 Jun 2014 - 13:00 ,Round of 16,Belo Horizonte ,Brazil,1,Chile,1
2014,28 Jun 2014 - 17:00 ,Round of 16,Rio De Janeiro ,Colombia,2,Uruguay,0
2014,29 Jun 2014 - 13:00 ,Round of 16,Fortaleza ,Netherlands,2,Mexico,1
2014,29 Jun 2014 - 17:00 ,Round of 16,Recife ,Costa Rica,1,Greece,1
2014,30 Jun 2014 - 13:00 ,Round of 16,Brasilia ,France,2,Nigeria,0
2014,30 Jun 2014 - 17:00 ,Round of 16,Porto Alegre ,Germany,2,Algeria,1
2014,01 Jul 2014 - 13:00 ,Round of 16,Sao Paulo ,Argentina,1,Switzerland,0
2014,01 Jul 2014 - 17:00 ,Round of 16,Salvador ,Belgium,2,USA,1
2014,04 Jul 2014 - 13:00 ,Quarter-finals,Rio De Janeiro ,France,0,Germany,1
2014,04 Jul 2014 - 17:00 ,Quarter-finals,Fortaleza ,Brazil,2,Colombia,1
2014,05 Jul 2014 - 13:00 ,Quarter-finals,Brasilia ,Argentina,1,Belgium,0
2014,05 Jul 2014 - 17:00 ,Quarter-finals,Salvador ,Netherlands,0,Costa Rica,0
2014,08 Jul 2014 - 17:00 ,Semi-finals,Belo Horizonte ,Brazil,1,Germany,7
2014,09 Jul 2014 - 17:00 ,Semi-finals,Sao Paulo ,Netherlands,0,Argentina,0
2014,12 Jul 2014 - 17:00 ,Play-off for third place,Brasilia ,Brazil,0,Netherlands,3
2014,13 Jul 2014 - 16:00 ,Final,Rio De Janeiro ,Germany,1,Argentina,0
